Date,DateValue,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40182,377.399994,379.450012,374.524994,375.825012,302.451019,1963682
2010-01-05,40183,377.5,379.774994,373.274994,375.924988,302.531525,2014488
2010-01-06,40184,375.924988,376.100006,366.5,367.424988,295.690979,3349176
2010-01-07,40185,367.75,369.700012,355.5,357.200012,287.462311,6474892
2010-01-08,40186,358,359.25,348.25,349.899994,281.587463,6048178
2010-01-11,40189,352,360.049988,350.200012,357.100006,287.381775,4318408
2010-01-12,40190,366,377,363.5,375.024994,301.80722,9027690
2010-01-13,40191,372.5,398.200012,372.325012,394.274994,317.29895,10910272
2010-01-14,40192,399.225006,399.225006,384.674988,389.924988,313.798279,10327614
2010-01-15,40193,398,399.799988,386.125,395.700012,318.445709,7945008
2010-01-18,40196,400,414.5,396.5,401.100006,322.791504,7261084
2010-01-19,40197,401.100006,401.100006,389.325012,390.350006,314.140198,5154850
2010-01-20,40198,396.100006,396.100006,385.450012,389.700012,313.617157,4347054
2010-01-21,40199,386.125,395.975006,383.950012,385.325012,310.096191,5089504
2010-01-22,40200,380.5,382.5,372.350006,378.924988,304.94574,7574990
2010-01-25,40203,378.75,382.75,370.575012,378.100006,304.281708,3008286
2010-01-27,40205,375,379.850006,370.075012,371.649994,299.884247,4844398
2010-01-28,40206,374.75,378.975006,363.850006,370.875,299.25885,6537196
2010-01-29,40207,367,369.899994,356.075012,368.100006,297.019806,5473326
2010-02-01,40210,367.174988,381.399994,360,373.075012,301.034027,3378012
2010-02-02,40211,377.5,381.325012,367.5,369.200012,297.907349,4739188
2010-02-03,40212,372,378.450012,367.75,376.475006,303.777405,2977676
2010-02-04,40213,376.475006,376.950012,366.25,369.350006,298.028381,2716612
2010-02-05,40214,367.5,367.5,358.299988,361.75,291.895935,4607118
2010-02-08,40217,364.5,367.375,354.075012,362.075012,292.158295,4170344
2010-02-09,40218,362.5,370.975006,360.524994,367.575012,296.59613,3005894
2010-02-10,40219,369.950012,371.850006,364.049988,366.149994,295.446167,2337374
2010-02-11,40220,368.975006,373.975006,367.5,371.350006,299.642151,2413156
2010-02-15,40224,375,375,369.274994,373.075012,301.034027,1956482
2010-02-16,40225,373.625,382.475006,371.100006,379.075012,305.875549,1660490
2010-02-17,40226,382.450012,383.975006,376.274994,379.325012,306.077087,2528290
2010-02-18,40227,380,383.475006,377.75,379.399994,306.137634,1814806
2010-02-19,40228,377.450012,379.75,372.899994,375.274994,302.809204,2215880
2010-02-22,40231,378.5,381.850006,376.899994,378.625,305.512421,2143460
2010-02-23,40232,379.5,382.5,375.625,381.049988,307.469116,1853052
2010-02-24,40233,378,385.350006,376.049988,382.674988,308.780365,4076058
2010-02-25,40234,384.899994,384.899994,380.625,383.125,309.143402,2672984
2010-02-26,40235,383.549988,389.274994,373.075012,380.899994,307.348022,3015934
2010-03-02,40239,381,384.5,377.5,381.600006,307.912933,4053352
2010-03-03,40240,384.5,387,382.075012,384.375,310.152008,2754742
2010-03-04,40241,384,385,378.5,381.950012,308.195374,2053606
2010-03-05,40242,382.5,383.475006,380.075012,381.299988,307.670807,1287312
2010-03-08,40245,383.799988,385,380.149994,381.350006,307.71109,3015740
2010-03-09,40246,381.5,389.25,381.5,384.350006,310.131927,3457732
2010-03-10,40247,381.850006,392.225006,380,390.024994,314.710938,4587874
